名稱,高度,等,TWD97緯度,TWD97經度,所在地
賴厝部,108.68 ,Ⅱ,24.17157878 ,120.67063636 ,台中北區
武路,39.95 ,Ⅱ,22.77888600 ,120.51143031 ,里港
保和以山,684.70 ,Ⅱ,22.45280919 ,120.64890025 ,來義
東港,4.14 ,Ⅱ,22.46401328 ,120.45550614 ,東港
八卦力山,"1,000.70 ",Ⅱ,24.50347111 ,120.94342975 ,獅潭
福興,12.95 ,Ⅱ,24.04679306 ,120.42643564 ,福興
大平籠,"1,179.62 ",Ⅱ,24.20168906 ,120.88052542 ,東勢 和平
橫屏背,779.24 ,Ⅱ,24.61531867 ,121.02701558 ,南庄
白石牙山,"1,171.97 ",Ⅱ,23.77281125 ,120.81481636 ,鹿谷 水里
獅子頭山,"2,103.88 ",Ⅱ,23.61526094 ,120.76275986 ,竹山 阿里山
橫山,442.81 ,Ⅱ,23.88920525 ,120.63157042 ,社頭 名間
石圍牆山,560.14 ,Ⅱ,24.29885169 ,120.76729561 ,台中東勢
五指山,"1,061.69 ",Ⅱ,24.64131811 ,121.09616381 ,五峰 橫山 北埔
麥樹仁山,758.27 ,Ⅱ,24.71770750 ,121.19867742 ,橫山 尖石
番子田山,"1,649.00 ",Ⅱ,23.62809203 ,120.71135733 ,竹山 古坑
大橫屏山,"1,205.56 ",Ⅱ,24.07492667 ,120.82894286 ,太平 國姓
頭嵙山,859.40 ,Ⅱ,24.17935875 ,120.80014494 ,北屯 新社
大埔心,26.65 ,Ⅱ,23.95313422 ,120.54775694 ,埔心
蒜頭,10.02 ,Ⅱ,23.48194356 ,120.29622617 ,六腳
鷂婆山,901.24 ,Ⅱ,24.43488886 ,120.90846431 ,大湖
聚興山,500.42 ,Ⅱ,24.22014828 ,120.74274075 ,潭子
北插天山,"1,727.84 ",Ⅱ,24.79201183 ,121.45263736 ,三峽 烏來
八幡崎,699.25 ,Ⅱ,24.04688864 ,120.92481347 ,埔里
東勢閣,259.41 ,Ⅱ,23.89345947 ,120.76540944 ,中寮
牛尿港,7.49 ,Ⅱ,23.56047428 ,120.14098794 ,口湖
銅山,"1,919.90 ",Ⅱ,24.50976789 ,121.65463261 ,南澳
雙冬山,574.22 ,Ⅱ,23.97134164 ,120.79261972 ,草屯
崩坎,256.35 ,Ⅱ,24.01502106 ,120.60128647 ,花壇 芬園
笋子林山,727.19 ,Ⅱ,23.73495236 ,120.71830142 ,竹山
水社大山,"2,058.95 ",Ⅱ,23.84219381 ,120.96768808 ,魚池 南投信義
集集大山,"1,391.67 ",Ⅱ,23.85511111 ,120.83819444 ,集集
阿罩霧,249.41 ,Ⅱ,24.06122622 ,120.71353919 ,霧峰
呂奔山,924.55 ,Ⅱ,24.86316689 ,121.60557547 ,石碇 烏來
尾文坑,727.47 ,Ⅱ,24.28171597 ,120.89305981 ,東勢 和平
人倫山,"1,195.79 ",Ⅱ,23.75396314 ,120.88013206 ,水里 南投信義
柴林腳,18.26 ,Ⅱ,23.59465006 ,120.36617744 ,新港
嵌頭厝,297.29 ,Ⅱ,23.63342986 ,120.58385375 ,古坑
北大肚山,310.18 ,Ⅱ,24.21307750 ,120.59876522 ,西屯 沙鹿
蘇厝寮,24.52 ,Ⅱ,23.55776853 ,120.29162303 ,北港
溫寮,9.00 ,Ⅱ,24.41282719 ,120.60486639 ,大甲
草湳,2.96 ,Ⅱ,24.24819294 ,120.52296975 ,梧棲
新港山,"1,544.29 ",Ⅱ,23.11780281 ,121.32178819 ,富里 成功
王功,9.10 ,Ⅱ,23.95360347 ,120.33499403 ,芳苑
上茄苳,38.73 ,Ⅱ,23.39458772 ,120.37897889 ,後壁
虎頭山,93.42 ,Ⅱ,24.49376736 ,120.68486694 ,通霄
柑腳山,614.72 ,Ⅱ,24.98921781 ,121.80614606 ,雙溪
嗄嘮吧灣,"1,000.95 ",Ⅱ,23.01200517 ,121.22104939 ,關山 東河
都歷,812.09 ,Ⅱ,23.01408325 ,121.30282072 ,東河 成功
泉州厝,10.50 ,Ⅱ,24.15250856 ,120.48341625 ,伸港
網調口,422.57 ,Ⅱ,23.15272256 ,121.21787217 ,富里
阿里擺,639.17 ,Ⅱ,22.82340514 ,121.07042464 ,卑南
七星嶺,160.18 ,Ⅱ,24.60655739 ,121.86331544 ,蘇澳
八里芒,953.40 ,Ⅱ,22.92477350 ,121.22971814 ,東河
牛斗山,26.56 ,Ⅱ,23.51453694 ,120.39406461 ,新港
射馬干,945.02 ,Ⅱ,22.73738194 ,121.02549142 ,卑南
大礁山,29.69 ,Ⅱ,23.37025651 ,119.53878362 ,望安
馬鳴山,9.84 ,Ⅱ,24.05379875 ,120.50340853 ,秀水
鎖管港,17.57 ,Ⅱ,23.51832485 ,119.60646769 ,馬公
太平頂,190.05 ,Ⅱ,22.00995286 ,120.69834339 ,恆春 車城
埔頂,119.19 ,Ⅱ,21.92586097 ,120.84891561 ,恆春
溪子下,13.99 ,Ⅱ,23.50385408 ,120.20580544 ,東石
三抱竹,14.43 ,Ⅱ,24.84112022 ,121.82609972 ,頭城
高美,8.09 ,Ⅱ,24.33318203 ,120.55870544 ,清水
槓子寮山,162.27 ,Ⅱ,25.14311250 ,121.77565839 ,基隆中正 基隆信義
大林,30.69 ,Ⅱ,23.60820156 ,120.45490275 ,大林
丈八斗,23.82 ,Ⅱ,23.89258139 ,120.42412306 ,二林
佳菩安山,"1,083.89 ",Ⅱ,22.30865314 ,120.77801489 ,獅子 達仁
豬老束山,410.45 ,Ⅱ,22.01099897 ,120.85619439 ,滿州
鼻頭角,110.03 ,Ⅱ,25.12693267 ,121.92238414 ,瑞芳
南湖呂山,"1,325.00 ",Ⅱ,22.33550742 ,120.71259081 ,獅子
竹坑山,519.01 ,Ⅱ,22.24903211 ,120.68737889 ,獅子
老佛山,674.26 ,Ⅱ,22.03896875 ,120.79204286 ,牡丹 恆春
巴塱衛山,325.49 ,Ⅱ,22.32253783 ,120.87887975 ,大武
